;CountryName;CountryID;lowcarbonRDexp;year;Electricity_production_from_oil_gas_coal;general_public_expenditures;Coal_rents_percentage_of_GDP;Inflation;GDP_growth_annual_percentage;Natural_gas_rents_percentage_of_GDP;Oil_rents_percentage_of_GDP;disproportionality;election_year;green_vs_growth;left_vs_right;green_cabinet;left_incumbent_gov;single_party_gov;environmental_saliency ;political_constraints;institutional_constraints;social_expenditures;EU;prop;fed;pres;bic;deficit
AUS;Australia;1;2;2009;92.502065740946;18.3536159446776;1.50419421632064;4.99930501098378;1.87048696091408;0.360647437871352;0.636963641812716;10.07;0;8.71643543;-2.647750854;0;1;1;5.50;0.4890325;3;17.76;0;1;1;0;4;-4.22230994096423
AUS;Australia;1;3;2010;91.3881203715798;18.7556603939979;2.01453190671547;1.15782618940531;2.20656631017093;0.308623494584911;0.772678252793687;10.07;1;0.02643077;-3.506003618;0;1;1;12.15;0.4890325;3;17.60;0;1;1;0;4;-4.16342963368891
AUT;Austria;2;1;1990;33.6883317104836;17.9756738660758;0.00359143466597501;2.99968060930622;4.34564139947821;0.0189623299626168;0.06762465916062;2.02;1;-0.09651038;2.362578630;0;0;0;14.77;0.4583972;2;24.52;0;2;1;1;2;-2.71794134749739
AUT;Austria;2;1;1991;34.8398796357187;18.1577955514132;0.00273038921515364;3.64187153111726;3.44162777669459;0.0157432794432631;0.0354891865198928;2.02;0;-0.30865365;1.486072063;0;0;0;14.77;0.5045260;2;24.81;0;2;1;1;2;-3.14701237936316
AUT;Austria;2;1;1992;27.4695128056229;18.4899116879537;0.00120165011729154;3.47909329454419;2.09352461709183;0.0106788634961747;0.0299803324042133;2.02;0;1.39448774;1.227410913;0;1;0;14.77;0.5045260;2;25.45;0;2;1;1;2;-2.1570233558392
AUT;Austria;2;1;1993;25.8141753129197;19.3004158667799;0.000125994333819132;2.75708463928996;0.526809203706492;0.0128610974799929;0.0280982757473363;2.02;0;3.09762907;0.968749702;0;1;0;14.77;0.5247641;2;26.75;0;2;1;1;2;-4.6772542294315
AUT;Austria;2;1;1994;29.0840705417282;19.4443661360991;0.000124607449967329;2.52494261860797;2.40211907379886;0.00902541606176069;0.0232863772499546;2.02;1;4.85071278;0.739485681;0;1;0;10.54;0.5247641;2;27.57;0;2;1;1;2;-5.19247911429066
AUT;Austria;2;1;1995;29.3631519808619;19.5896579303121;0.000502824411799825;1.81391819271643;2.66798353089548;0.00840498284187354;0.0239830745709551;2.02;1;15.21336746;4.440216541;0;1;0;3.80;0.5247641;3;27.24;1;2;1;1;2;-6.13448521572828
AUT;Austria;2;1;1996;32.7565610184045;19.5657433008979;0.000227830588302389;0.986205502429385;2.34953385169727;0.0108047867776378;0.0321413096071717;2.02;0;17.21623611;5.182776451;0;1;0;3.80;0.5434754;3;27.29;1;2;1;1;2;-4.50633770786202
AUT;Austria;2;1;1997;31.8110801831732;19.6007911245516;0.000108935516525044;1.26699553666487;2.09359938952392;0.0115854543208507;0.0249106008261746;2.02;0;12.16052628;3.234681368;0;0;0;3.80;0.5470468;3;27.16;1;2;1;1;2;-2.57421763179868
